,popularity
58061,20
58062,73
58063,20
58064,76
58065,20
58066,73
58067,20
58068,75
58069,20
58070,70
58071,20
58072,71
58073,21
58074,74
58075,24
58076,72
58077,20
58078,72
58079,20
58080,75
58081,20
58082,74
58083,21
58084,73
58085,31
58086,74
58087,24
58088,75
58089,21
58090,71
58091,15
58092,73
58093,15
58094,75
58095,16
58096,75
58097,15
58098,73
58099,15
58100,76
58101,16
58102,73
58103,16
58104,76
58105,16
58106,78
58107,16
58108,70
58109,19
58110,72
58111,19
58112,80
58113,20
58114,69
58115,19
58116,72
58117,19
58118,74
58119,20
58120,70
58121,19
58122,74
58123,19
58124,74
58125,20
58126,78
58127,19
58128,69
58129,14
58130,76
58131,20
58132,72
58133,19
58134,73
58135,22
58136,73
58137,18
58138,77
58139,19
58140,72
58141,19
58142,73
58143,19
58144,74
58145,7
58146,77
58147,18
58148,75
58149,21
58150,73
58151,7
58152,71
58153,15
58154,72
58155,3
58156,78
58157,10
58158,71
58159,20
58160,79
58161,6
58162,79
58163,20
58164,72
58165,17
58166,75
58167,6
58168,74
58169,33
58170,71
58171,14
58172,72
58173,5
58174,73
58175,13
58176,74
58177,8
58178,75
58179,8
58180,71
58181,7
58182,71
58183,4
58184,77
58185,10
58186,76
58187,15
58188,73
58189,17
58190,81
58191,17
58192,74
58193,17
58194,74
58195,18
58196,69
58197,18
58198,70
58199,18
58200,73
58201,8
58202,77
58203,7
58204,75
58205,20
58206,72
58207,8
58208,78
58209,16
58210,77
58211,15
58212,74
58213,4
58214,72
58215,14
58216,72
58217,12
58218,73
58219,17
58220,73
58221,13
58222,69
58223,19
58224,70
58225,14
58226,74
58227,11
58228,79
58229,3
58230,71
58231,5
58232,81
58233,5
58234,75
58235,5
58236,69
58237,7
58238,73
58239,5
58240,78
58241,3
58242,73
58243,14
58244,77
58245,42
58246,77
58247,42
58248,83
58249,35
58250,83
58251,29
58252,82
58253,28
58254,76
58255,42
58256,79
58257,42
58258,78
58259,28
58260,78
58261,42
58262,85
58263,42
58264,76
58265,36
58266,77
58267,42
58268,77
58269,42
58270,82
58271,42
58272,76
58273,42
58274,85
58275,41
58276,85
58277,41
58278,81
58279,32
58280,83
58281,41
58282,77
58283,41
58284,77
58285,41
58286,83
58287,41
58288,78
58289,41
58290,76
58291,28
58292,76
58293,41
58294,77
58295,25
58296,78
58297,41
58298,80
58299,40
58300,77
58301,40
58302,77
58303,41
58304,82
58305,40
58306,77
58307,31
58308,84
58309,41
58310,83
58311,40
58312,83
58313,40
58314,83
58315,40
58316,75
58317,40
58318,74
58319,25
58320,75
58321,40
58322,76
58323,32
58324,80
58325,32
58326,74
58327,35
58328,79
58329,35
58330,76
58331,25
58332,74
58333,28
58334,77
58335,31
58336,74
58337,35
58338,81
58339,31
58340,79
58341,39
58342,84
58343,32
58344,76
58345,30
58346,78
58347,25
58348,77
58349,24
58350,80
58351,23
58352,74
58353,31
58354,76
58355,24
58356,76
58357,32
58358,78
58359,24
58360,78
58361,24
58362,78
58363,24
58364,80
58365,24
58366,75
58367,24
58368,76
58369,24
58370,75
58371,24
58372,77
58373,24
58374,79
58375,24
58376,88
58377,24
58378,83
58379,24
58380,75
58381,24
58382,76
58383,35
58384,75
58385,30
58386,79
58387,33
58388,75
58389,34
58390,78
58391,30
58392,77
58393,24
58394,81
58395,24
58396,74
58397,24
58398,85
58399,24
58400,75
58401,24
58402,85
58403,30
58404,78
58405,24
58406,82
58407,24
58408,75
58409,24
58410,76
58411,24
58412,78
58413,24
58414,81
58415,24
58416,77
58417,24
58418,79
58419,24
58420,74
58421,24
58422,74
58423,24
58424,79
58425,24
58426,80
58427,24
58428,73
58429,24
58430,76
58431,24
58432,73
58433,30
58434,89
58435,27
58436,78
58437,21
58438,77
58439,32
58440,73
58442,77
58443,22
58445,14
58447,13
58449,9
58451,8
58453,9
58455,8
58457,9
58459,10
58461,8
58463,10
58465,11
58467,11
58469,10
58471,9
58473,9
58475,10
58485,20
58489,13
58491,15
58493,12
58495,12
58497,16
58499,13
58501,18
58503,13
58505,13
58507,5
58509,9
58511,16
58513,12
58515,13
58517,11
58519,7
58521,10
58535,7
58537,8
58539,8
58541,8
58543,8
65845,0
65847,0
65849,0
65851,0
65853,0
65855,0
65857,0
65859,0
65861,0
65863,0
65865,0
65867,0
65869,0
65871,0
72497,0
72499,1
72501,0
72503,0
72509,0
72511,0
72519,0
72523,0
72525,0
72527,0
72529,0
72533,0
72543,0
72547,0
72549,0
72551,0
72555,0
72557,0
72563,0
72565,0
72569,0
72571,0
72573,0
72575,0
72579,0
72581,0
72583,0
72585,0
72587,0
72591,5
72593,2
72595,0
72597,0
72599,0
72601,0
72603,0
72605,0
72607,0
72609,0
72615,0
72617,0
72623,0
72625,2
72627,0
72631,0
72633,0
72635,1
72637,0
72639,0
72643,0
72645,0
72647,0
72649,0
72651,0
72653,0
72655,0
72657,0
72661,0
72665,0
72671,0
72673,0
72675,0
72677,0
72679,0
72681,0
72685,0
72687,0
72689,2
72691,4
72697,8
72699,8
72701,9
72703,7
72705,7
72707,7
72709,7
72711,7
72713,7
72715,8
72717,7
72719,7
72721,6
72723,6
72725,7
72727,7
72729,6
72731,7
72733,6
72735,7
72737,8
72739,8
72741,7
72743,6
72745,6
72747,7
72749,8
72751,7
72753,6
72755,6
72757,7
72759,6
72761,6
72763,8
72765,9
72767,7
72769,6
72771,6
72773,8
72775,6
72777,6
72779,8
72781,7
72783,8
72785,7
72787,6
72789,6
72791,7
72793,6
72795,8
72797,8
72799,7
72801,6
72803,7
72805,7
72807,7
72809,7
72811,7
72813,4
72819,0
72821,1
72823,0
72825,0
72827,0
72831,0
72833,0
72835,0
72841,0
72845,0
72849,0
72851,0
72855,0
72863,0
72865,0
72869,0
72875,6
72879,0
72885,5
72889,0
72891,0
73097,0
73099,0
73101,0
73105,0
73107,0
73109,0
73111,0
73113,0
73115,0
73117,0
73119,0
73121,0
73123,0
73131,0
73135,0
73137,0
73139,0
73141,0
73147,0
73149,0
73151,0
73153,0
73157,0
73161,0
73163,0
73165,0
73167,0
73169,0
73173,0
73175,0
73187,0
73189,0
73191,0
73199,0
73201,0
73203,0
73205,0
73207,0
73209,0
73211,0
73213,0
73215,0
73217,0
73219,0
73221,0
73223,0
73225,0
73227,0
73229,0
73231,0
73233,0
73235,0
73237,0
73239,0
73241,0
73243,0
73245,0
73247,0
73249,0
73251,0
73253,0
73255,0
73259,0
73261,0
73285,0
73291,0
73296,2
73298,2
73300,1
73302,1
73304,1
73306,0
73310,0
73312,0
73314,0
73316,1
73318,2
73320,1
73332,0
73334,0
73338,1
73340,2
73342,3
73344,4
73346,0
73348,2
73350,2
73352,2
73354,3
73356,2
73358,0
73360,1
73362,1
73366,0
73368,3
73370,3
73372,6
73374,1
73376,1
73378,1
73382,0
73386,0
73392,3
73396,4
73398,0
73400,0
73404,6
73406,0
73408,6
73410,5
73412,0
73414,0
73416,0
73418,0
73420,1
73424,0
73426,0
73430,0
73432,0
73436,0
73440,0
73442,1
73444,0
73446,0
73448,3
73452,0
73454,1
73456,4
73458,0
73460,0
73462,1
73466,4
73468,1
73470,0
73472,1
73474,1
73476,3
73478,8
73480,0
73484,0
73486,0
73488,3
73490,6
73492,5
73497,0
73499,0
73501,0
73505,0
73507,2
73509,0
73513,0
73519,0
73521,0
73523,0
73527,0
73529,2
73531,0
73533,0
73535,1
73537,1
73539,1
73541,0
73543,0
73545,6
73547,8
73549,0
73551,0
73555,1
73557,0
73559,0
73561,0
73563,0
73567,1
73569,1
73575,9
73583,3
73585,0
73587,0
73599,4
73601,0
73605,0
73613,0
73615,0
73617,0
73619,0
73621,0
73627,0
73629,0
73631,0
73633,0
73635,0
73637,0
73639,0
73641,0
73643,0
73645,0
73647,0
73649,0
73655,0
73665,0
73667,2
73669,1
73675,0
73677,1
73679,4
73683,0
73697,8
73699,0
73701,0
73703,1
73709,0
73711,0
73715,0
73719,0
73727,0
73729,1
73733,0
73735,0
73737,0
73739,0
73741,0
73745,7
73747,0
73751,0
73755,0
73759,0
73765,0
73769,0
73771,0
73777,0
73779,0
73781,2
73783,1
73785,0
73787,0
73789,0
73791,0
73797,0
73799,0
73801,0
73803,0
73805,0
73807,0
73809,0
73811,0
73813,0
73815,0
73817,0
73819,0
73821,0
73839,0
73853,0
73861,0
73863,0
73865,0
73871,0
73875,0
73877,0
73885,0
73887,0
73889,0
73895,0
73897,0
73899,0
73901,0
73903,0
73905,0
73907,0
73909,3
73913,0
73915,1
73921,0
73923,0
73925,0
73927,0
73929,0
73931,0
73933,0
73935,0
73937,0
73939,0
73941,0
73943,0
73945,0
73947,0
73949,0
73955,0
73961,0
73967,0
73969,0
73973,0
73975,0
73989,0
73991,0
73993,0
74001,0
74009,0
74011,1
74019,0
74021,0
74025,1
74027,4
74029,0
74035,0
74037,0
74045,0
74047,0
74049,0
74053,0
74055,0
74057,0
74059,0
74069,0
74071,0
74073,0
74077,0
74079,0
74081,0
74083,0
74085,0
74087,0
74091,0
74093,0
74095,0
74097,0
74099,0
74105,0
74107,0
74115,0
74123,0
74127,0
74139,2
74159,1
74169,0
74173,0
74177,1
74181,0
74183,3
74185,0
74187,0
74189,2
74197,0
74207,1
74217,0
74227,0
74231,0
74237,0
74239,0
74243,19
74255,0
74257,0
74259,0
74261,0
74263,0
74265,0
74271,0
74277,0
74281,1
74283,4
74291,0
74297,1
74299,7
74301,0
74303,0
74305,0
74309,0
74311,0
74315,2
74317,4
74319,0
74321,3
74323,0
74325,0
74327,0
74329,0
74333,0
74335,0
74337,3
74355,0
74357,0
74363,0
74365,1
74367,1
74373,0
74377,1
74379,0
74381,1
74383,0
74389,1
74391,3
74393,1
74395,0
74399,3
74401,0
74403,0
74405,0
74407,1
74409,1
74411,0
74413,0
74415,1
74417,0
74419,0
74421,0
74423,0
74425,0
74427,0
74429,0
74431,0
74433,0
74435,0
74437,3
74439,0
74441,3
74443,0
74445,0
74447,0
74451,0
74453,0
74455,0
74471,0
74473,5
74475,0
74485,1
74487,0
74491,3
74493,0
74495,0
74496,56
74497,0
74498,65
74499,0
74500,67
74501,0
74502,62
74503,0
74504,70
74505,0
74506,63
74507,0
74508,65
74509,2
74510,55
74511,0
74512,61
74513,0
74514,57
74515,0
74516,55
74517,0
74518,55
74519,0
74520,58
74521,7
74522,57
74523,0
74524,55
74525,0
74526,55
74527,0
74528,55
74529,0
74530,59
74531,0
74532,64
74533,0
74534,55
74535,0
74536,55
74537,0
74538,56
74539,0
74540,62
74541,9
74542,66
74543,0
74544,55
74545,0
74546,56
74547,0
74548,62
74549,0
74550,56
74551,0
74552,56
74553,0
74554,58
74555,0
74556,62
74557,0
74558,57
74559,0
74560,61
74561,0
74562,59
74563,0
74564,61
74565,2
74566,60
74567,0
74568,55
74569,1
74570,55
74571,2
74572,62
74573,2
74574,56
74575,0
74576,54
74577,0
74578,54
74579,0
74580,62
74581,0
74582,60
74583,0
74584,62
74585,1
74586,57
74587,0
74588,61
74589,3
74590,54
74591,0
74592,55
74593,0
74594,61
74595,0
74596,58
74597,0
74598,54
74599,0
74600,60
74601,7
74602,53
74603,0
74604,66
74605,0
74606,61
74607,0
74608,55
74609,0
74610,64
74611,0
74612,54
74613,0
74614,57
74615,0
74616,62
74617,0
74618,56
74619,0
74620,62
74621,0
74622,58
74623,1
74624,53
74625,0
74626,59
74627,0
74628,53
74629,2
74630,54
74631,0
74632,54
74633,0
74634,60
74635,0
74636,59
74637,0
74638,59
74639,0
74640,69
74641,0
74642,54
74643,0
74644,60
74645,0
74646,59
74647,0
74648,53
74649,0
74650,55
74651,0
74652,57
74653,0
74654,56
74655,0
74656,53
74657,0
74658,54
74659,0
74660,68
74661,0
74662,54
74663,0
74664,58
74665,0
74666,66
74667,0
74668,63
74669,0
74670,55
74671,1
74672,54
74673,0
74674,58
74675,1
74676,65
74677,0
74678,61
74679,6
74680,52
74681,0
74682,57
74683,0
74684,52
74685,0
74686,59
74687,0
74688,56
74689,0
74690,53
74691,0
74692,54
74693,0
74694,59
74695,0
74696,55
74697,0
74698,59
74699,0
74700,71
74701,10
74702,58
74703,0
74704,56
74705,0
74706,60
74707,0
74708,63
74709,0
74710,55
74711,0
74712,62
74713,0
74714,56
74715,0
74716,56
74717,0
74718,58
74719,0
74720,58
74721,0
74722,68
74723,0
74724,57
74725,0
74726,58
74727,1
74728,60
74729,0
74730,55
74731,0
74732,57
74733,2
74734,59
74735,2
74736,73
74737,0
74738,55
74739,2
74740,58
74741,0
74742,56
74743,1
74744,73
74745,2
74746,55
74747,1
74748,67
74749,2
74750,55
74751,0
74752,59
74753,0
74754,75
74755,0
74756,57
74757,0
74758,63
74759,0
74760,55
74761,0
74762,57
74763,0
74764,65
74765,0
74766,60
74767,0
74768,61
74769,0
74770,56
74771,0
74772,55
74773,0
74774,59
74775,0
74776,61
74777,0
74778,58
74779,0
74780,60
74781,0
74782,58
74783,0
74784,57
74785,0
74786,65
74787,0
74788,55
74789,0
74790,57
74791,0
74792,57
74793,0
74794,58
74795,0
74796,54
74797,1
74798,61
74799,0
74800,59
74801,0
74802,58
74803,0
74804,58
74805,0
74806,55
74807,4
74808,57
74809,2
74810,54
74811,3
74812,57
74813,1
74814,59
74815,2
74816,59
74817,0
74818,53
74819,0
74820,57
74821,0
74822,53
74823,0
74824,55
74825,0
74826,54
74827,0
74828,62
74829,0
74830,57
74831,0
74832,54
74833,0
74834,56
74835,0
74836,56
74837,0
74838,60
74839,0
74840,54
74841,1
74842,63
74843,0
74844,62
74845,2
74846,67
74847,0
74848,54
74849,0
74850,56
74851,0
74852,54
74853,0
74854,56
74855,0
74856,57
74857,0
74858,62
74859,2
74860,54
74861,0
74862,55
74863,0
74864,61
74865,1
74866,57
74867,0
74868,59
74869,1
74870,64
74871,0
74872,54
74873,0
74874,60
74875,0
74876,54
74878,56
74879,0
74880,70
74881,0
74882,53
74883,0
74884,53
74885,0
74886,54
74887,0
74888,56
74889,0
74890,69
74891,0
74892,53
74893,0
74894,59
74895,0
74896,62
74897,0
74898,59
74899,0
74900,60
74901,0
74902,66
74903,0
74904,65
74905,0
74906,59
74907,5
74908,61
74909,0
74910,57
74911,0
74912,56
74913,0
74914,57
74916,65
74917,0
74918,60
74919,0
74920,63
74921,3
74922,66
74923,0
74924,56
74925,0
74926,61
74927,0
74928,65
74929,0
74930,62
74931,2
74932,58
74933,0
74934,56
74935,0
74936,66
74937,0
74938,67
74939,0
74940,65
74941,0
74942,57
74943,0
74944,62
74945,0
74946,57
74947,0
74948,72
74949,1
74950,67
74951,1
74952,60
74953,0
74954,57
74955,0
74956,56
74958,57
74959,0
74960,65
74961,0
74962,63
74963,0
74964,64
74965,0
74966,58
74967,0
74968,55
74969,0
74970,56
74972,61
74973,0
74974,56
74975,1
74976,65
74977,0
74978,56
74979,0
74980,60
74981,0
74982,56
74983,0
74984,56
74985,0
74986,60
74987,0
74988,59
74989,0
74990,56
74991,0
74992,56
74993,0
74994,57
74995,0
74996,68
74997,12
74998,63
74999,0
75000,63
75001,0
75002,56
75003,0
75004,58
75005,0
75006,56
75007,0
75008,56
75009,0
75010,57
75011,5
75012,55
75013,4
75014,68
75015,1
75016,57
75018,63
75019,0
75020,58
75021,0
75022,55
75023,0
75024,65
75025,0
75026,64
75027,5
75028,65
75029,0
75030,66
75031,0
75032,55
75033,1
75034,58
75036,55
75037,0
75038,70
75039,0
75040,62
75041,0
75042,56
75043,3
75044,61
75045,1
75046,65
75047,0
75048,57
75049,2
75050,61
75051,0
75052,60
75053,4
75054,63
75055,0
75056,56
75057,2
75058,63
75059,0
75060,57
75061,0
75062,66
75063,0
75064,56
75065,0
75066,56
75067,0
75068,60
75069,0
75070,60
75071,0
75072,55
75073,0
75074,58
75075,0
75076,56
75077,0
75078,59
75079,1
75080,66
75081,3
75082,61
75083,1
75084,60
75085,0
75086,63
75087,0
75088,55
75089,1
75090,63
75091,0
75092,56
75093,1
75094,55
75095,0
75096,65
75097,0
75098,58
75099,2
75100,58
75101,1
75102,58
75103,0
75104,58
75105,5
75106,64
75107,0
75108,64
75109,0
75110,57
75111,0
75112,68
75113,0
75114,67
75115,1
75116,57
75117,0
75118,64
75119,0
75120,63
75121,0
75122,63
75123,0
75124,61
75125,0
75126,65
75127,0
75128,61
75129,0
75130,60
75131,0
75132,60
75133,0
75134,67
75135,0
75136,60
75137,0
75138,65
75139,0
75140,58
75141,0
75142,58
75143,0
75144,67
75145,0
75146,62
75147,0
75148,61
75149,0
75150,67
75151,0
75152,67
75153,5
75154,60
75155,1
75156,58
75157,0
75158,59
75159,1
75160,57
75161,0
75162,58
75163,0
75164,65
75165,0
75166,62
75167,0
75168,62
75169,0
75170,67
75171,0
75172,57
75173,0
75174,63
75175,0
75176,57
75177,0
75178,56
75179,0
75180,62
75181,0
75182,58
75183,0
75184,62
75185,1
75186,57
75187,0
75188,60
75189,2
75190,58
75191,0
75192,60
75193,0
75194,57
75195,0
75196,66
75197,0
75198,58
75199,0
75200,62
75201,0
75202,65
75203,0
75204,60
75205,0
75206,61
75207,0
75208,63
75209,0
75210,57
75211,0
75212,60
75213,0
75214,60
75215,0
75216,59
75217,0
75218,59
75219,6
75220,59
75221,7
75222,65
75223,0
75224,59
75225,0
75226,66
75227,0
75228,64
75230,57
75232,61
75233,0
75234,60
75235,1
75236,67
75237,0
75238,66
75240,69
75241,0
75242,62
75243,0
75244,56
75245,0
75246,56
75247,3
75248,59
75249,0
75250,59
75252,57
75253,0
75254,60
75255,0
75256,56
75257,0
75258,55
75259,0
75260,58
75261,0
75262,60
75263,0
75264,61
75265,0
75266,58
75267,0
75268,57
75269,0
75270,56
75271,0
75272,58
75273,0
75274,59
75275,2
75276,57
75277,0
75278,57
75279,7
75280,66
75281,1
75282,59
75283,0
75284,65
75285,0
75286,56
75287,0
75288,63
75289,3
75290,78
75291,1
75292,56
75293,0
75294,58
75295,0
75296,59
75297,3
75298,60
75299,3
75300,64
75301,3
75302,58
75303,3
75304,61
75305,3
75306,58
75307,3
75308,59
75309,4
75310,63
75311,4
75312,59
75313,3
75314,67
75315,3
75316,59
75317,3
75318,62
75319,3
75320,59
75321,3
75322,67
75323,4
75324,62
75325,3
75326,66
75327,3
75328,59
75329,2
75330,61
75331,3
75332,62
75333,3
75334,68
75335,4
75336,58
75337,3
75338,72
75339,11
75340,58
75341,10
75342,58
75343,11
75344,61
75345,8
75346,59
75347,9
75348,57
75349,11
75350,64
75351,15
75352,65
75353,8
75354,58
75355,16
75356,58
75357,12
75358,58
75359,4
75360,67
75361,4
75362,60
75363,4
75364,65
75365,4
75366,58
75367,4
75368,58
75369,4
75370,59
75371,4
75372,60
75373,4
75374,69
75375,4
75376,62
75377,4
75378,60
75379,4
75380,68
75381,6
75382,64
75383,4
75384,60
75385,3
75386,69
75387,4
75388,68
75389,4
75390,60
75391,4
75392,59
75393,4
75394,58
75395,4
75396,58
75397,4
75398,60
75399,6
75400,58
75401,4
75402,60
75403,4
75404,59
75405,4
75406,59
75407,4
75408,59
75409,4
75410,60
75411,4
75412,58
75413,4
75414,61
75415,4
75416,67
75417,0
75418,60
75419,0
75420,69
75421,1
75422,65
75423,0
75424,70
75425,0
75426,68
75427,0
75428,59
75429,0
75430,57
75431,0
75432,67
75433,0
75434,60
75435,0
75436,67
75437,0
75438,64
75439,0
75440,63
75441,0
75442,56
75443,0
75444,68
75445,0
75446,57
75447,0
75448,58
75449,1
75450,59
75451,0
75452,58
75453,2
75454,61
75455,0
75456,61
75457,0
75458,68
75459,1
75460,60
75461,0
75462,68
75463,0
75464,62
75465,0
75466,61
75467,2
75468,57
75469,0
75470,60
75471,0
75472,57
75473,0
75474,58
75475,0
75476,63
75477,0
75478,64
75479,2
75480,59
75481,0
75482,69
75483,0
75484,64
75485,0
75486,59
75487,0
75488,63
75489,1
75490,58
75491,1
75492,57
75493,1
75494,57
75495,3
75496,65
75497,8
75498,65
75499,15
75500,65
75501,16
75502,65
75503,6
75504,64
75506,64
75507,4
75508,70
75509,4
75510,64
75511,4
75512,69
75513,4
75514,64
75515,4
75516,63
75517,4
75518,61
75519,5
75520,63
75521,4
75522,65
75523,4
75524,70
75525,4
75526,61
75527,4
75528,70
75529,5
75530,64
75531,5
75532,67
75533,4
75534,68
75535,4
75536,69
75537,4
75538,67
75539,4
75540,63
75541,5
75542,64
75543,4
75544,64
75545,4
75546,61
75547,4
75548,64
75549,5
75550,67
75551,3
75552,63
75553,4
75554,65
75555,4
75556,64
75557,4
75558,64
75559,6
75560,70
75561,6
75562,67
75563,4
75564,67
75565,4
75566,61
75567,4
75568,70
75569,3
75570,70
75572,63
75573,7
75574,61
75575,5
75576,62
75577,4
75578,61
75579,4
75580,64
75581,5
75582,68
75583,14
75584,63
75586,63
75587,3
75588,62
75589,11
75590,62
75591,15
75592,65
75593,13
75594,61
75595,12
75596,64
75597,13
75598,61
75599,6
75600,62
75601,8
75602,62
75603,12
75604,67
75605,12
75606,63
75607,12
75608,60
75609,12
75610,67
75611,3
75612,65
75613,13
75614,63
75615,6
75616,65
75617,11
75618,67
75619,12
75620,62
75621,6
75622,59
75623,12
75624,59
75625,2
75626,62
75627,3
75628,63
75629,11
75630,64
75631,3
75632,62
75633,3
75634,65
75635,8
75636,62
75637,12
75638,69
75639,4
75640,61
75641,3
75642,66
75643,2
75644,64
75645,2
75646,68
75647,5
75648,66
75649,3
75650,62
75651,3
75652,60
75653,5
75654,65
75655,6
75656,62
75657,3
75658,68
75659,3
75660,64
75661,4
75662,72
75663,3
75664,68
75665,4
75666,72
75667,3
75668,64
75669,4
75670,68
75671,6
75672,64
75673,10
75674,63
75675,10
75676,65
75677,3
75678,70
75679,27
75680,67
75681,13
75682,67
75683,31
75684,62
75685,3
75686,64
75687,12
75688,65
75689,6
75690,65
75691,5
75692,60
75693,2
75694,67
75695,4
75696,64
75697,20
75698,73
75699,18
75700,63
75701,17
75702,64
75703,17
75704,61
75705,19
75706,65
75707,15
75708,64
75709,19
75710,63
75711,3
75712,65
75713,7
75714,66
75715,4
75716,69
75717,3
75718,65
75719,3
75720,62
75721,3
75722,64
75723,3
75724,66
75725,3
75726,64
75727,4
75728,64
75729,4
75730,64
75731,4
75732,63
75733,3
75734,68
75735,3
75736,73
75737,3
75738,63
75739,3
75740,67
75741,3
75742,65
75743,4
75744,66
75745,4
75746,74
75747,3
75748,67
75749,3
75750,65
75751,3
75752,60
75753,4
75754,74
75755,3
75756,64
75757,3
75758,61
75759,3
75760,63
75761,0
75762,63
75763,0
75764,64
75765,0
75766,61
75767,0
75768,62
75769,0
75770,62
75771,0
75772,62
75773,0
75774,63
75775,0
75776,64
75777,0
75778,63
75779,0
75780,67
75781,0
75782,67
75783,0
75784,62
75785,0
75786,67
75787,0
75788,73
75789,0
75790,62
75791,0
75792,61
75793,0
75794,62
75795,0
75796,76
75797,21
75798,74
75799,3
75800,79
75801,4
75802,71
75803,3
75804,69
75805,4
75806,76
75807,4
75808,66
75809,9
75810,74
75811,10
75812,68
75813,9
75814,73
75815,4
75816,65
75817,8
75818,71
75819,18
75820,66
75821,7
75822,69
75823,18
75824,71
75825,12
75826,75
75827,13
75828,65
75829,4
75830,68
75831,5
75832,64
75833,3
75834,71
75835,6
75836,69
75837,9
75838,68
75839,6
75840,74
75841,7
75842,71
75843,21
75844,73
75845,29
75846,76
75847,13
75848,75
75849,12
75850,71
75851,14
75852,70
75853,12
75854,66
75855,13
75856,66
75857,14
75858,74
75859,14
75860,74
75861,11
75862,68
75863,12
75864,72
75865,12
75866,71
75867,13
75868,69
75869,11
75870,76
75871,10
75872,73
75873,12
75874,64
75875,12
75876,69
75877,9
75878,70
75879,12
75880,69
75881,12
75882,66
75883,11
75884,71
75885,10
75886,69
75887,11
75888,74
75889,13
75890,73
75891,10
75892,68
75893,11
75894,64
75895,13
75896,63
75897,11
75898,70
75899,12
75900,70
75901,12
75902,65
75903,13
75904,67
75905,11
75906,72
75907,9
75908,74
75909,9
75910,70
75911,12
75912,74
75913,10
75914,68
75915,10
75916,66
75917,13
75918,69
75919,12
75920,64
75921,12
75922,72
75923,16
75924,64
75925,12
75926,67
75927,13
75928,70
75929,13
75930,69
75931,10
75932,68
75933,14
75934,76
75935,9
75936,66
75937,10
75938,68
75939,12
75940,67
75941,12
75942,70
75943,10
75944,65
75945,15
75946,67
75947,12
75948,71
75949,15
75950,68
75951,12
75952,68
75953,10
75954,68
75955,12
75956,69
75957,11
75958,70
75959,12
75960,67
75961,13
75962,65
75963,15
75964,65
75965,16
75966,67
75967,17
75968,70
75969,6
75970,67
75971,11
75972,66
75973,8
75974,70
75975,6
75976,67
75977,5
75978,66
75979,5
75980,64
75981,6
75982,63
75983,6
75984,68
75985,6
75986,74
75987,6
75988,72
75989,6
75990,68
75991,5
75992,63
75993,7
75994,69
75995,8
75996,66
75997,9
75998,69
75999,10
76000,70
76001,13
76002,66
76003,13
76004,70
76005,11
76006,71
76008,70
76009,15
76010,70
76011,6
76012,69
76013,13
76014,69
76015,12
76016,69
76017,19
76018,72
76019,20
76020,71
76021,19
76022,67
76023,19
76024,73
76025,17
76026,72
76027,4
76028,68
76029,11
76030,71
76031,17
76032,69
76033,16
76034,76
76035,14
76036,66
76037,13
76038,72
76039,5
76040,73
76041,16
76042,67
76043,3
76044,71
76045,40
76046,72
76047,4
76048,69
76049,7
76050,70
76052,68
76053,9
76054,72
76055,8
76056,67
76057,9
76058,68
76059,8
76060,70
76061,4
76062,71
76063,9
76064,66
76065,5
76066,73
76067,19
76068,71
76069,19
76070,70
76071,19
76072,75
76073,18
76074,71
76075,17
76076,71
76077,18
76078,75
76079,18
76080,67
76081,11
76082,68
76083,8
76084,67
76086,69
76087,9
76088,68
76089,10
76090,70
76091,10
76092,70
76093,14
76094,70
76095,9
76096,70
76097,12
76098,69
76099,9
76100,71
76101,10
76102,69
76103,9
76104,68
76105,12
76106,69
76107,11
76108,70
76109,13
76110,77
76111,11
76112,69
76113,5
76114,73
76115,6
76116,76
76117,4
76118,72
76119,14
76120,68
76121,7
76122,68
76123,9
76124,73
76125,5
76126,70
76127,9
76128,72
76129,4
76130,67
76131,5
76132,70
76133,3
76134,71
76135,7
76136,70
76137,7
76138,75
76139,5
76140,66
76141,5
76142,81
76143,4
76144,70
76145,9
76146,70
76147,7
76148,69
76149,8
76150,69
76151,6
76152,67
76153,6
76154,68
76155,6
76156,68
76157,5
76158,70
76159,16
76160,70
76161,16
76162,65
76163,8
76164,68
76165,8
76166,71
76167,10
76168,67
76169,8
76170,69
76171,9
76172,69
76173,14
76174,66
76175,7
76176,67
76177,14
76178,70
76179,6
76180,74
76181,7
76182,70
76183,6
76184,78
76185,7
76186,65
76187,12
76188,69
76189,12
76190,65
76191,7
76192,73
76193,14
76194,70
76195,10
76196,74
76197,4
76198,79
76199,3
76200,78
76201,4
76202,71
76203,4
76204,73
76205,21
76206,70
76207,19
76208,70
76209,19
76210,75
76211,10
76212,70
76213,9
76214,74
76215,11
76216,68
76217,3
76218,75
76219,22
76220,70
76221,7
76222,73
76223,10
76224,73
76225,11
76226,70
76227,10
76228,74
76229,3
76230,70
76231,4
76232,72
76233,27
76234,72
76235,17
76236,74
76237,15
76238,75
76239,2
76240,74
76241,7
76242,68
76243,6
76244,74
76245,10
76246,72
76247,10
76248,75
76249,2
76250,76
76251,13
76252,73
76253,13
76254,73
76255,4
76256,74
76257,14
76258,75
76259,14
76260,70
76261,4
76262,68
76263,6
76264,74
76265,5
76266,72
76267,7
76268,73
76269,6
76270,74
76271,3
76272,70
76273,3
76274,79
76275,6
76276,67
76277,4
76278,72
76279,6
76280,72
76281,3
76282,72
76283,5
76284,78
76285,17
76286,75
76287,19
76288,72
76289,18
76290,70
76291,18
76292,69
76293,19
76294,73
76295,18
76296,73
76297,16
76298,74
